iter	Passed	Remaining
0	141	141510
1	144	71925
2	146	48667
3	148	36963
4	150	29917
5	152	25196
6	154	21852
7	155	19286
8	157	17316
9	158	15722
10	160	14432
11	161	13326
12	163	12415
13	165	11633
14	166	10953
15	168	10355
16	169	9825
17	171	9359
18	172	8929
19	174	8542
20	176	8205
21	177	7887
22	178	7601
23	180	7347
24	182	7105
25	183	6884
26	185	6678
27	186	6487
28	188	6306
29	189	6142
30	191	5987
31	193	5839
32	194	5702
33	196	5577
34	198	5459
35	199	5346
36	201	5233
37	202	5130
38	204	5028
39	205	4935
40	207	4843
41	208	4752
42	209	4668
43	211	4587
44	212	4507
45	213	4430
46	214	4359
47	216	4290
48	217	4221
49	218	4158
50	220	4099
51	221	4040
52	222	3979
53	223	3923
54	225	3868
55	226	3817
56	227	3766
57	229	3719
58	230	3673
59	231	3627
60	232	3584
61	234	3541
62	235	3501
63	236	3460
64	238	3424
65	239	3388
66	240	3352
67	242	3317
68	243	3283
69	244	3249
70	245	3217
71	247	3185
72	248	3154
73	249	3122
74	250	3093
75	252	3065
76	253	3038
77	254	3012
78	256	2985
79	257	2959
80	258	2933
81	259	2909
82	260	2878
83	261	2855
84	263	2834
85	264	2816
86	266	2794
87	267	2776
88	269	2755
89	270	2737
90	272	2718
91	273	2698
92	274	2677
93	275	2658
94	277	2639
95	278	2620
96	279	2599
97	280	2580
98	281	2562
99	282	2544
100	283	2525
101	284	2507
102	286	2492
103	287	2475
104	288	2458
105	289	2441
106	290	2425
107	291	2411
108	292	2395
109	294	2379
110	295	2365
111	296	2351
112	297	2337
113	298	2322
114	299	2308
115	301	2294
116	301	2278
117	303	2264
118	304	2251
119	305	2239
120	306	2226
121	307	2212
122	308	2199
123	309	2186
124	310	2175
125	312	2164
126	312	2151
127	314	2139
128	315	2128
129	316	2117
130	317	2106
131	318	2095
132	319	2084
133	320	2072
134	321	2061
135	322	2051
136	323	2040
137	325	2030
138	326	2021
139	327	2011
140	328	2001
141	329	1990
142	330	1982
143	331	1973
144	333	1964
145	334	1955
146	335	1946
147	336	1938
148	337	1929
149	339	1921
150	340	1912
151	341	1903
152	342	1894
153	343	1886
154	344	1878
155	345	1871
156	347	1863
157	348	1855
158	349	1847
159	350	1839
160	351	1829
161	352	1821
162	353	1814
163	354	1806
164	355	1800
165	356	1793
166	358	1785
167	359	1779
168	360	1774
169	367	1793
170	373	1812
171	381	1838
172	389	1862
173	395	1876
174	401	1892
175	407	1906
176	411	1911
177	414	1915
178	418	1917
179	421	1917
180	423	1917
181	426	1916
182	428	1914
183	431	1913
184	433	1909
185	435	1905
186	437	1901
187	439	1896
188	440	1892
189	442	1885
190	443	1879
191	445	1873
192	446	1866
193	447	1860
194	449	1854
195	450	1847
196	451	1841
197	453	1835
198	454	1828
199	455	1822
200	456	1815
201	458	1809
202	459	1803
203	460	1796
204	461	1790
205	462	1783
206	463	1776
207	465	1771
208	466	1764
209	467	1757
210	468	1751
211	469	1745
212	470	1739
213	472	1733
214	473	1728
215	474	1722
216	475	1716
217	476	1710
218	477	1704
219	479	1698
220	480	1693
221	481	1687
222	482	1681
223	484	1676
224	485	1671
225	486	1666
226	487	1660
227	488	1654
228	489	1649
229	491	1644
230	492	1639
231	493	1633
232	494	1627
233	495	1622
234	496	1616
235	497	1611
236	499	1606
237	500	1601
238	501	1596
239	502	1591
240	503	1586
241	505	1582
242	506	1577
243	507	1573
244	508	1568
245	509	1562
246	511	1558
247	512	1553
248	513	1548
249	514	1543
250	515	1538
251	516	1534
252	518	1529
253	519	1525
254	520	1520
255	521	1515
256	522	1510
257	523	1506
258	524	1501
259	526	1497
260	527	1494
261	529	1490
262	530	1486
263	531	1482
264	532	1477
265	534	1473
266	535	1469
267	536	1466
268	538	1462
269	539	1458
270	540	1454
271	542	1450
272	543	1447
273	544	1443
274	545	1439
275	547	1435
276	548	1431
277	549	1428
278	551	1424
279	552	1420
280	553	1416
281	555	1413
282	556	1410
283	557	1406
284	559	1403
285	560	1399
286	561	1396
287	563	1392
288	564	1389
289	566	1386
290	567	1382
291	568	1379
292	570	1375
293	571	1372
294	572	1369
295	574	1365
296	575	1362
297	576	1359
298	578	1356
299	580	1353
300	581	1350
301	582	1347
302	584	1344
303	585	1341
304	587	1338
305	588	1335
306	590	1332
307	591	1329
308	593	1326
309	594	1323
310	595	1320
311	597	1317
312	598	1314
313	600	1311
314	601	1307
315	602	1305
316	604	1302
317	605	1299
318	607	1296
319	608	1293
320	610	1290
321	611	1287
322	613	1285
323	614	1282
324	616	1280
325	617	1277
326	619	1274
327	620	1271
328	622	1268
329	623	1266
330	624	1263
331	626	1260
332	628	1258
333	629	1255
334	631	1252
335	632	1250
336	634	1248
337	635	1244
338	636	1241
339	638	1239
340	640	1237
341	641	1234
342	643	1232
343	644	1229
344	646	1226
345	647	1224
346	649	1222
347	650	1219
348	652	1216
349	653	1214
350	655	1211
351	656	1208
352	658	1206
353	659	1203
354	660	1200
355	662	1198
356	663	1195
357	665	1193
358	666	1190
359	668	1187
360	669	1184
361	670	1182
362	672	1179
363	673	1177
364	675	1174
365	676	1172
366	678	1170
367	679	1167
368	680	1164
369	682	1161
370	683	1158
371	684	1155
372	685	1152
373	686	1149
374	688	1146
375	689	1143
376	690	1141
377	691	1138
378	693	1135
379	694	1132
380	695	1129
381	696	1126
382	697	1124
383	698	1121
384	700	1118
385	701	1115
386	702	1112
387	703	1109
388	704	1106
389	705	1103
390	706	1101
391	708	1098
392	709	1095
393	710	1092
394	711	1089
395	712	1087
396	713	1084
397	714	1081
398	716	1078
399	717	1076
400	718	1073
401	719	1070
402	720	1067
403	722	1065
404	723	1062
405	724	1060
406	725	1057
407	726	1054
408	727	1051
409	728	1048
410	729	1045
411	730	1043
412	732	1040
413	733	1037
414	734	1035
415	735	1032
416	736	1030
417	738	1027
418	739	1025
419	740	1023
420	742	1020
421	743	1017
422	744	1015
423	745	1012
424	746	1009
425	747	1006
426	748	1004
427	749	1001
428	750	999
429	752	997
430	753	994
431	754	992
432	755	989
433	756	987
434	758	984
435	759	981
436	760	979
437	761	976
438	762	974
439	763	971
440	764	969
441	766	967
442	767	965
443	769	962
444	770	960
445	771	958
446	772	956
447	774	953
448	775	951
449	776	949
450	777	946
451	779	944
452	780	942
453	781	940
454	783	938
455	784	936
456	786	934
457	787	932
458	789	930
459	790	927
460	791	925
461	793	923
462	794	921
463	796	919
464	797	917
465	798	915
466	800	913
467	801	911
468	802	908
469	804	906
470	805	904
471	806	902
472	808	900
473	809	898
474	810	895
475	811	893
476	813	891
477	814	889
478	816	887
479	817	885
480	818	883
481	820	881
482	821	879
483	822	877
484	823	874
485	825	872
486	826	870
487	827	868
488	829	866
489	830	864
490	831	862
491	833	860
492	834	858
493	836	856
494	837	854
495	838	852
496	839	850
497	841	847
498	842	845
499	843	843
500	844	841
501	846	839
502	847	837
503	849	835
504	850	833
505	852	831
506	853	830
507	855	828
508	856	826
509	858	824
510	859	822
511	861	820
512	862	818
513	864	817
514	865	815
515	867	813
516	868	811
517	870	809
518	871	808
519	873	806
520	874	804
521	876	802
522	877	800
523	879	798
524	880	796
525	882	795
526	883	793
527	885	791
528	886	789
529	887	787
530	889	785
531	890	783
532	892	781
533	893	779
534	894	777
535	896	775
536	897	773
537	898	771
538	900	769
539	901	767
540	902	766
541	904	764
542	905	762
543	906	760
544	908	758
545	909	756
546	910	754
547	911	752
548	913	750
549	914	748
550	915	746
551	916	744
552	918	742
553	919	740
554	920	738
555	922	736
556	923	734
557	924	732
558	926	730
559	927	728
560	928	726
561	930	724
562	931	722
563	932	720
564	933	718
565	935	717
566	936	715
567	938	713
568	939	711
569	941	709
570	942	708
571	943	706
572	945	704
573	946	702
574	947	700
575	949	698
576	950	696
577	952	695
578	953	693
579	954	691
580	956	689
581	957	688
582	959	686
583	960	684
584	961	682
585	963	680
586	964	678
587	965	676
588	967	674
589	968	673
590	969	671
591	971	669
592	972	667
593	973	665
594	974	663
595	976	661
596	977	660
597	979	658
598	980	656
599	981	654
600	983	652
601	984	650
602	985	648
603	987	647
604	988	645
605	989	643
606	991	641
607	992	640
608	994	638
609	995	636
610	996	634
611	998	632
612	999	630
613	1000	629
614	1002	627
615	1003	625
616	1005	623
617	1006	622
618	1008	620
619	1009	618
620	1010	616
621	1011	614
622	1012	612
623	1014	611
624	1015	609
625	1016	607
626	1018	605
627	1019	604
628	1021	602
629	1022	600
630	1024	598
631	1025	597
632	1026	595
633	1028	593
634	1029	591
635	1031	590
636	1033	588
637	1035	587
638	1036	585
639	1038	584
640	1040	582
641	1041	580
642	1043	579
643	1044	577
644	1046	575
645	1047	574
646	1049	572
647	1050	570
648	1051	568
649	1053	567
650	1054	565
651	1055	563
652	1057	561
653	1058	560
654	1060	558
655	1061	556
656	1062	554
657	1064	553
658	1065	551
659	1067	549
660	1068	547
661	1069	546
662	1071	544
663	1072	542
664	1073	540
665	1075	539
666	1076	537
667	1078	535
668	1079	533
669	1080	532
670	1081	530
671	1083	528
672	1084	526
673	1085	525
674	1086	523
675	1088	521
676	1089	519
677	1091	518
678	1092	516
679	1094	514
680	1095	513
681	1096	511
682	1098	509
683	1099	507
684	1101	506
685	1102	504
686	1103	502
687	1105	501
688	1106	499
689	1108	497
690	1109	496
691	1110	494
692	1112	492
693	1113	491
694	1114	489
695	1116	487
696	1117	485
697	1118	484
698	1120	482
699	1121	480
700	1122	478
701	1124	477
702	1125	475
703	1126	473
704	1128	472
705	1129	470
706	1131	468
707	1132	467
708	1133	465
709	1135	463
710	1136	461
711	1137	460
712	1139	458
713	1140	456
714	1141	455
715	1142	453
716	1144	451
717	1145	450
718	1147	448
719	1148	446
720	1149	444
721	1150	443
722	1152	441
723	1153	439
724	1154	437
725	1155	436
726	1157	434
727	1158	432
728	1159	431
729	1161	429
730	1162	427
731	1163	426
732	1164	424
733	1166	422
734	1167	421
735	1169	419
736	1170	417
737	1172	416
738	1173	414
739	1175	412
740	1176	411
741	1177	409
742	1179	407
743	1180	406
744	1181	404
745	1183	402
746	1184	401
747	1185	399
748	1187	397
749	1188	396
750	1189	394
751	1191	392
752	1192	391
753	1194	389
754	1195	387
755	1196	386
756	1198	384
757	1199	382
758	1200	381
759	1201	379
760	1203	377
761	1204	376
762	1205	374
763	1207	372
764	1208	371
765	1209	369
766	1211	367
767	1212	366
768	1213	364
769	1215	362
770	1216	361
771	1217	359
772	1219	357
773	1220	356
774	1221	354
775	1223	353
776	1224	351
777	1225	349
778	1227	348
779	1228	346
780	1230	345
781	1231	343
